EAR_TAG,sampleDate,ExtractionID,QC_RTL,DOB,TEL_sampleNO,TL_Quartiles,CULL_DATE,Time_Months,Time_Years,Event,residRTL_plateRow,AGE_Y,Time1stSampleDeath
103065,25/09/2008,378,1.288303424,18/09/2008,1,4,15/04/2016,90,7.56,1,0.150428513,0,2759
103079,20/10/2008,1223,0.977479729,15/10/2008,1,1,14/10/2013,60,4.99,1,0.053397633,0,1820
103086,03/11/2008,295,0.966846357,27/10/2008,1,1,04/04/2013,53,4.42,1,0.023831812,0,1613
103093,11/11/2008,933,0.979519952,07/11/2008,1,1,30/01/2015,74,6.22,1,-0.01573988,0,2271
103163,16/12/2008,522,1.022809374,13/12/2008,1,2,05/02/2013,50,4.14,1,0.023785227,0,1512
103170,09/01/2009,1179,1.261980804,26/12/2008,1,3,09/06/2011,29,2.41,1,0.024652342,0,881
103240,20/02/2009,617,1.311376074,12/02/2009,1,4,05/11/2015,80,6.71,1,0.169460891,0,2449
103247,20/02/2009,982,1.171616704,16/02/2009,1,3,17/07/2014,65,5.41,1,0.10417656,0,1973
103275,02/04/2009,1395,0.990482222,21/03/2009,1,1,23/02/2012,35,2.9,1,-0.014037763,0,1057
103359,01/06/2009,144,1.134757836,27/05/2009,1,2,16/01/2015,67,5.63,1,0.056551357,0,2055
103394,01/06/2009,789,1.433448268,27/05/2009,1,4,16/01/2015,67,5.63,1,0.242560264,0,2055
103408,11/06/2009,1158,1.241571754,06/06/2009,1,3,01/05/2015,70,5.89,1,0.067024807,0,2150
103429,13/07/2009,597,1.084711844,29/06/2009,1,2,04/10/2012,39,3.23,1,0.031364861,0,1179
103499,28/09/2009,769,0.987973744,19/09/2009,1,1,11/08/2012,34,2.87,1,-0.076954639,0,1048
103506,19/08/2009,836,1.67389742,10/08/2009,1,4,08/04/2015,67,5.64,1,0.365090966,0,2058
103576,06/11/2009,662,1.192026337,01/11/2009,1,3,16/05/2014,54,4.53,1,0.115985773,0,1652
103583,17/11/2009,1382,1.28716529,14/11/2009,1,4,27/05/2012,30,2.53,1,0.221767262,0,922
103590,03/12/2009,198,1.374126714,27/11/2009,1,4,25/04/2014,53,4.39,1,0.209646033,0,1604
103660,18/12/2009,1133,1.405218459,15/12/2009,1,4,30/09/2014,57,4.79,1,0.204021341,0,1747
103681,18/01/2010,559,1.632860185,12/01/2010,1,4,03/11/2014,57,4.79,1,0.321987535,0,1750
103737,16/02/2010,798,1.364716674,12/02/2010,1,4,01/08/2011,17,1.45,1,0.101753992,0,531
103744,26/02/2010,1229,1.448428168,20/02/2010,1,4,17/07/2014,53,4.39,1,0.110933211,0,1602
103751,08/03/2010,170,1.090485925,27/02/2010,1,2,09/07/2014,52,4.34,1,0.016171578,0,1584
103772,05/04/2010,102,1.071915349,02/04/2010,1,2,01/05/2015,61,5.07,1,0.001594285,0,1852
103814,29/04/2010,681,1.363798163,26/04/2010,1,4,09/10/2015,65,5.45,1,0.140194516,0,1989
103821,06/05/2010,458,1.100308031,01/05/2010,1,2,01/05/2014,48,3.99,1,0.018387219,0,1456
103996,04/10/2010,1013,1.08347403,28/09/2010,1,2,06/06/2013,32,2.67,1,0.064008876,0,976
104031,15/10/2010,833,1.276306651,11/10/2010,1,3,NULL,91,8,0,0.077069081,0,3000
104066,25/11/2010,517,0.9015392,20/11/2010,1,1,18/09/2013,34,2.82,1,-0.012391959,0,1028
104073,10/12/2010,486,1.006144032,06/12/2010,1,1,04/11/2014,47,3.9,1,-0.07078335,0,1425
104115,21/12/2010,193,1.392137648,17/12/2010,1,4,06/08/2015,55,4.63,1,0.127385737,0,1689
104136,21/01/2011,76,1.342904476,11/01/2011,1,4,04/11/2015,57,4.79,1,0.208106472,0,1748
