recodedID,DOB,BirthYear,BirthSeason,BIRTH_WGT,GENETIC_GROUP,FEED_GROUP,CULL_DATE,CULL_REASON,CULL_GROUP,HERD_LIFE,sampleDate,TEL_sampleNO,AGE_D,AGE_W,AGE_M,AGE_Y,AgeGr,LIVE_WGT,ExtrBatch,ExtractionID,VolOriginalDNAStock,MeanDNAconcentrationNanoDrop,IntegrityGel_score,Plate,RunDate,Row,QC_RTL,LogTL
7458,10/09/2008,2008,1,44,S,2,07/12/2012,NOT SEEN IN HEAT,F,1549,07/12/2012,5,1549,221,51,4,2,NULL,54,1305,150,77.305,1,21,17/12/2015,G,0.873513768,-0.058730245
7458,10/09/2008,2008,1,44,S,2,07/12/2012,NOT SEEN IN HEAT,F,1549,15/09/2008,1,5,1,0,0,1,NULL,31,778,150,77.03,1,12,12/12/2015,G,1.377562487,0.139111308
7458,10/09/2008,2008,1,44,S,2,07/12/2012,NOT SEEN IN HEAT,F,1549,16/03/2010,2,552,79,18,2,2,NULL,55,1337,150,82.01,1,22,17/12/2015,E,1.025312824,0.010856389
7458,10/09/2008,2008,1,44,S,2,07/12/2012,NOT SEEN IN HEAT,F,1549,20/02/2012,4,1258,180,41,3,2,NULL,36,893,150,57.63,1,14,11/12/2015,G,1.015553135,0.006702651
7458,10/09/2008,2008,1,44,S,2,07/12/2012,NOT SEEN IN HEAT,F,1549,25/03/2011,3,926,132,30,3,2,NULL,15,405,150,95.175,1,6,05/11/2015,E,0.998934301,-0.000463074
9911,11/09/2008,2008,1,45,C,NULL,02/08/2012,FOOT/LEG PROBLEMS,L,1421,06/04/2011,3,937,134,31,3,2,NULL,31,773,150,80.005,1,12,12/12/2015,B,1.177112117,0.07081783
9911,11/09/2008,2008,1,45,C,NULL,02/08/2012,FOOT/LEG PROBLEMS,L,1421,15/09/2008,1,4,1,0,0,1,NULL,43,1051,150,36.53,2,17,15/12/2015,G,1.369805198,0.13665881
9911,11/09/2008,2008,1,45,C,NULL,02/08/2012,FOOT/LEG PROBLEMS,L,1421,16/03/2010,2,551,79,18,2,2,NULL,25,633,150,143.84,1,10,14/12/2015,B,1.087239469,0.03632521
9911,11/09/2008,2008,1,45,C,NULL,02/08/2012,FOOT/LEG PROBLEMS,L,1421,27/02/2012,4,1264,181,41,3,2,NULL,38,941,150,55.055,1,15,14/12/2015,C,0.900060772,-0.045728166
9174,12/09/2008,2008,1,50,S,1,26/04/2011,ACCIDENT,O,956,09/03/2011,4,908,130,30,2,2,NULL,50,1227,150,92.82,1,20,17/12/2015,A,0.960648114,-0.017435666
9174,12/09/2008,2008,1,50,S,1,26/04/2011,ACCIDENT,O,956,15/09/2008,1,3,0,0,0,1,NULL,10,288,150,200.565,1,4,02/11/2015,B,1.102106665,0.042223629
9174,12/09/2008,2008,1,50,S,1,26/04/2011,ACCIDENT,O,956,26/10/2010,3,774,111,25,2,2,NULL,18,494,150,203.485,1,7,05/11/2015,F,0.978899435,-0.009261922
2425,14/09/2008,2008,1,45,S,2,31/10/2011,REPRODUCTIVE DISORDER,F,1142,16/03/2010,2,548,78,18,2,2,NULL,29,740,150,91.37,1,12,12/12/2015,A,1.21734212,0.085412649
2425,14/09/2008,2008,1,45,S,2,31/10/2011,REPRODUCTIVE DISORDER,F,1142,18/09/2008,1,4,1,0,0,1,NULL,21,557,150,170.475,1,8,06/11/2015,H,0.963757869,-0.016032063
2425,14/09/2008,2008,1,45,S,2,31/10/2011,REPRODUCTIVE DISORDER,F,1142,24/03/2011,3,921,132,30,3,2,NULL,5,173,150,75.995,1,2,02/11/2015,B,0.996792559,-0.001395213
6236,18/09/2008,2008,1,47,C,2,15/10/2015,REPEAT BREEDER,F,2583,16/03/2010,2,544,78,18,1,2,NULL,18,491,150,114.115,1,7,05/11/2015,C,1.064093344,0.026979727
6236,18/09/2008,2008,1,47,C,2,15/10/2015,REPEAT BREEDER,F,2583,16/05/2014,6,2066,295,68,6,2,NULL,1,89,150,100.245,1,1,22/10/2015,H,0.798681399,-0.09762643
6236,18/09/2008,2008,1,47,C,2,15/10/2015,REPEAT BREEDER,F,2583,16/12/2014,7,2280,326,75,6,2,NULL,6,201,150,54.93,1,24,04/01/2016,B,1.101735776,0.042077452
6236,18/09/2008,2008,1,47,C,2,15/10/2015,REPEAT BREEDER,F,2583,20/02/2012,4,1250,179,41,3,2,NULL,54,1319,150,117.175,1,22,17/12/2015,C,1.096591065,0.040044703
6236,18/09/2008,2008,1,47,C,2,15/10/2015,REPEAT BREEDER,F,2583,21/02/2013,5,1617,231,53,4,2,NULL,8,246,150,96.45,1,3,02/11/2015,A,0.942378771,-0.025774506
6236,18/09/2008,2008,1,47,C,2,15/10/2015,REPEAT BREEDER,F,2583,24/03/2011,3,917,131,30,3,2,NULL,35,880,150,64.145,1,14,11/12/2015,A,0.901966087,-0.044809791
6236,18/09/2008,2008,1,47,C,2,15/10/2015,REPEAT BREEDER,F,2583,25/09/2008,1,7,1,0,0,1,NULL,26,658,150,144.75,1,10,14/12/2015,D,1.19783529,0.078397104
8439,13/10/2008,2008,2,42,C,1,05/11/2015,REPRODUCTIVE DISORDER,F,2579,12/05/2014,6,2037,291,67,6,2,NULL,6,192,150,108.925,1,24,04/01/2016,A,1.078553823,0.032841823
8439,13/10/2008,2008,2,42,C,1,05/11/2015,REPRODUCTIVE DISORDER,F,2579,16/03/2010,2,519,74,17,1,2,NULL,51,1246,150,60.585,1,20,17/12/2015,E,0.918121171,-0.037099998
8439,13/10/2008,2008,2,42,C,1,05/11/2015,REPRODUCTIVE DISORDER,F,2579,16/10/2008,1,3,0,0,0,1,NULL,18,475,150,148.865,1,7,05/11/2015,C,0.969889226,-0.013277865
8439,13/10/2008,2008,2,42,C,1,05/11/2015,REPRODUCTIVE DISORDER,F,2579,17/02/2012,4,1222,175,40,3,2,NULL,46,1131,150,84.49,1,18,16/12/2015,G,0.809007791,-0.092047296
8439,13/10/2008,2008,2,42,C,1,05/11/2015,REPRODUCTIVE DISORDER,F,2579,27/02/2013,5,1598,228,52,4,2,NULL,37,923,150,81.92,1,15,14/12/2015,B,0.883973251,-0.053560877
2298,15/10/2008,2008,2,37,C,2,06/08/2015,MASTITIS,M,2486,14/05/2014,6,2037,291,67,6,2,NULL,38,952,150,76.205,1,15,14/12/2015,G,1.324357479,0.122005228
2298,15/10/2008,2008,2,37,C,2,06/08/2015,MASTITIS,M,2486,16/03/2010,2,517,74,17,1,2,NULL,22,569,150,142.59,1,9,06/11/2015,B,1.24620575,0.095589751
2298,15/10/2008,2008,2,37,C,2,06/08/2015,MASTITIS,M,2486,16/12/2014,7,2253,322,74,6,2,NULL,9,285,150,137.725,1,4,02/11/2015,G,0.942238007,-0.025839382
2298,15/10/2008,2008,2,37,C,2,06/08/2015,MASTITIS,M,2486,20/10/2008,1,5,1,0,0,1,NULL,48,1181,150,119.705,1,19,16/12/2015,E,1.277522545,0.106368573
2298,15/10/2008,2008,2,37,C,2,06/08/2015,MASTITIS,M,2486,22/02/2012,4,1225,175,40,3,2,NULL,23,591,150,89.135,1,25,17/02/2016,E,0.97597831,-0.010559834
2298,15/10/2008,2008,2,37,C,2,06/08/2015,MASTITIS,M,2486,22/02/2013,5,1591,227,52,4,2,NULL,20,527,150,78.81,1,8,06/11/2015,F,1.200286406,0.079284887
2298,15/10/2008,2008,2,37,C,2,06/08/2015,MASTITIS,M,2486,24/03/2011,3,890,127,29,2,2,NULL,19,513,150,126.645,1,8,06/11/2015,H,1.18666017,0.074326366
7626,15/10/2008,2008,2,35,C,1,14/10/2013,MASTITIS,M,1825,02/03/2011,3,868,124,28,2,2,NULL,60,1146,150,120.15,1,24,04/01/2016,E,0.892566496,-0.049359419
7626,15/10/2008,2008,2,35,C,1,14/10/2013,MASTITIS,M,1825,14/10/2013,6,1825,261,60,5,2,NULL,48,1174,150,54.915,1,19,16/12/2015,G,0.940560974,-0.026613045
7626,15/10/2008,2008,2,35,C,1,14/10/2013,MASTITIS,M,1825,15/04/2013,5,1643,235,54,5,2,NULL,60,1162,150,95.2,1,24,04/01/2016,F,0.976698003,-0.0102397
7626,15/10/2008,2008,2,35,C,1,14/10/2013,MASTITIS,M,1825,16/02/2012,4,1219,174,40,3,2,NULL,38,937,150,125.195,1,15,14/12/2015,G,0.845867813,-0.072697501
7626,15/10/2008,2008,2,35,C,1,14/10/2013,MASTITIS,M,1825,16/03/2010,2,517,74,17,1,2,NULL,10,292,150,122.225,1,4,02/11/2015,F,0.90012553,-0.04569692
7626,15/10/2008,2008,2,35,C,1,14/10/2013,MASTITIS,M,1825,20/10/2008,1,5,1,0,0,1,NULL,50,1223,150,78.785,1,20,17/12/2015,E,0.977479729,-0.00989224
9477,16/10/2008,2008,2,36,S,1,25/04/2014,LOST QUARTERS,M,2017,09/03/2011,3,874,125,29,2,2,NULL,16,429,150,114.655,1,6,05/11/2015,F,0.862238565,-0.064372557
9477,16/10/2008,2008,2,36,S,1,25/04/2014,LOST QUARTERS,M,2017,16/03/2010,2,516,74,17,1,2,NULL,17,456,150,94.995,1,7,05/11/2015,H,0.884221514,-0.053438922
9477,16/10/2008,2008,2,36,S,1,25/04/2014,LOST QUARTERS,M,2017,17/02/2012,4,1219,174,40,3,2,NULL,49,1197,150,83.58,1,19,16/12/2015,D,1.015831398,0.006821632
9477,16/10/2008,2008,2,36,S,1,25/04/2014,LOST QUARTERS,M,2017,20/10/2008,1,4,1,0,0,1,NULL,17,459,150,158.88,1,7,05/11/2015,C,0.986416193,-0.005939807
9477,16/10/2008,2008,2,36,S,1,25/04/2014,LOST QUARTERS,M,2017,23/04/2014,6,2015,288,66,6,2,NULL,58,1409,150,53.345,1,23,18/12/2015,C,0.895621782,-0.047875353
9477,16/10/2008,2008,2,36,S,1,25/04/2014,LOST QUARTERS,M,2017,27/02/2013,5,1595,228,52,4,2,NULL,48,1173,150,67.08,1,19,16/12/2015,F,0.834400278,-0.07862556
533,25/10/2008,2008,2,48,C,2,NULL,NULL,NULL,NULL,16/03/2010,2,507,72,17,1,2,NULL,14,391,150,108.68,1,6,05/11/2015,G,1.344860933,0.128677378
533,25/10/2008,2008,2,48,C,2,NULL,NULL,NULL,NULL,16/05/2014,6,2029,290,67,6,2,NULL,13,371,150,103.015,1,5,05/11/2015,D,1.15126939,0.061176958
533,25/10/2008,2008,2,48,C,2,NULL,NULL,NULL,NULL,16/12/2014,7,2243,320,74,6,2,NULL,34,848,150,56.755,1,25,17/02/2016,D,1.128990276,0.052690201
533,25/10/2008,2008,2,48,C,2,NULL,NULL,NULL,NULL,20/02/2012,4,1213,173,40,3,2,NULL,18,476,150,101.67,1,7,05/11/2015,D,1.325130625,0.122258691
533,25/10/2008,2008,2,48,C,2,NULL,NULL,NULL,NULL,21/02/2013,5,1580,226,52,4,2,NULL,48,1166,150,94.405,2,19,16/12/2015,F,1.46904977,0.16703651
533,25/10/2008,2008,2,48,C,2,NULL,NULL,NULL,NULL,25/03/2011,3,881,126,29,2,2,NULL,32,795,150,87.96,1,12,12/12/2015,H,1.47934624,0.170069832
533,25/10/2008,2008,2,48,C,2,NULL,NULL,NULL,NULL,28/10/2008,1,3,0,0,0,1,NULL,3,122,150,78.01,1,1,22/10/2015,H,1.15184998,0.061395919
1150,27/10/2008,2008,2,39,C,2,04/04/2013,UNKNOWN,O,1620,03/11/2008,1,7,1,0,0,1,NULL,10,295,150,179.875,1,4,02/11/2015,A,0.966846357,-0.014642535
