recodedId,sampleDate,ExtractionID,QC_RTL,DOB,TEL_sampleNO,CULL_DATE,CutoffDate,Survival,Time_Months,Time_Years,Event,residRTL_plateRow,AGE_Y
3926,25/09/2008,378,1.288303424,18/09/2008,1,15/04/2016,01/01/2017,2766,90.68852459,7.578082192,1,0.150428513,0
3926,02/03/2011,992,0.882375988,18/09/2008,3,15/04/2016,01/01/2017,2766,90.68852459,7.578082192,1,-0.1884302,2
3926,16/02/2012,265,0.924597235,18/09/2008,4,15/04/2016,01/01/2017,2766,90.68852459,7.578082192,1,-0.057034205,3
3926,16/02/2012,265,0.924597235,18/09/2008,4,15/04/2016,01/01/2017,2766,90.68852459,7.578082192,1,-0.057034205,4
3926,16/03/2010,1027,1.284008824,18/09/2008,2,15/04/2016,01/01/2017,2766,90.68852459,7.578082192,1,0.064544184,1
7626,02/03/2011,1146,0.892566496,15/10/2008,3,14/10/2013,01/01/2017,1825,59.83606557,5,1,-0.035579418,2
7626,16/03/2010,292,0.90012553,15/10/2008,2,14/10/2013,01/01/2017,1825,59.83606557,5,1,-0.047178451,1
7626,15/04/2013,1162,0.976698003,15/10/2008,5,14/10/2013,01/01/2017,1825,59.83606557,5,1,0.034476518,5
7626,16/02/2012,937,0.845867813,15/10/2008,4,14/10/2013,01/01/2017,1825,59.83606557,5,1,-0.114014351,3
7626,20/10/2008,1223,0.977479729,15/10/2008,1,14/10/2013,01/01/2017,1825,59.83606557,5,1,0.053397633,0
7626,16/02/2012,937,0.845867813,15/10/2008,4,14/10/2013,01/01/2017,1825,59.83606557,5,1,-0.114014351,4
7626,14/10/2013,1174,0.940560974,15/10/2008,6,14/10/2013,01/01/2017,1825,59.83606557,5,1,-0.074649617,5
1150,15/03/2011,908,0.854159454,27/10/2008,3,04/04/2013,01/01/2017,1620,53.1147541,4.438356164,1,-0.127273229,2
1150,21/02/2012,670,0.89314526,27/10/2008,4,04/04/2013,01/01/2017,1620,53.1147541,4.438356164,1,-0.081817174,4
1150,03/11/2008,295,0.966846357,27/10/2008,1,04/04/2013,01/01/2017,1620,53.1147541,4.438356164,1,0.023831812,0
1150,21/02/2012,670,0.89314526,27/10/2008,4,04/04/2013,01/01/2017,1620,53.1147541,4.438356164,1,-0.081817174,3
906,09/03/2011,297,0.871940514,07/11/2008,3,30/01/2015,01/01/2017,2275,74.59016393,6.232876712,1,-0.145312906,2
906,17/02/2012,1234,0.901334242,07/11/2008,4,30/01/2015,01/01/2017,2275,74.59016393,6.232876712,1,-0.041967316,4
906,11/11/2008,933,0.979519952,07/11/2008,1,30/01/2015,01/01/2017,2275,74.59016393,6.232876712,1,-0.01573988,0
906,17/02/2012,1234,0.901334242,07/11/2008,4,30/01/2015,01/01/2017,2275,74.59016393,6.232876712,1,-0.041967316,3
906,16/03/2010,988,1.035186083,07/11/2008,2,30/01/2015,01/01/2017,2275,74.59016393,6.232876712,1,-0.031884528,1
4957,28/02/2011,86,0.978116482,13/12/2008,3,05/02/2013,01/01/2017,1515,49.67213115,4.150684932,1,-0.017932145,2
4957,16/03/2010,1089,1.061003759,13/12/2008,2,05/02/2013,01/01/2017,1515,49.67213115,4.150684932,1,-0.040619742,1
4957,16/12/2008,522,1.022809374,13/12/2008,1,05/02/2013,01/01/2017,1515,49.67213115,4.150684932,1,0.023785227,0
4957,27/02/2012,161,1.039600276,13/12/2008,4,05/02/2013,01/01/2017,1515,49.67213115,4.150684932,1,-0.007607986,3
4957,27/02/2012,161,1.039600276,13/12/2008,4,05/02/2013,01/01/2017,1515,49.67213115,4.150684932,1,-0.007607986,4
7544,12/04/2011,1397,1.156889869,26/12/2008,3,09/06/2011,01/01/2017,895,29.3442623,2.452054795,1,0.063316949,2
7544,16/03/2010,666,1.082290667,26/12/2008,2,09/06/2011,01/01/2017,895,29.3442623,2.452054795,1,0.024197067,1
7544,09/01/2009,1179,1.261980804,26/12/2008,1,09/06/2011,01/01/2017,895,29.3442623,2.452054795,1,0.024652342,0
309,09/03/2011,226,0.983369232,12/02/2009,3,05/11/2015,01/01/2017,2457,80.55737705,6.731506849,1,-0.058800668,2
309,17/02/2012,641,1.091380156,12/02/2009,4,05/11/2015,01/01/2017,2457,80.55737705,6.731506849,1,-0.096763855,3
309,17/02/2012,641,1.091380156,12/02/2009,4,05/11/2015,01/01/2017,2457,80.55737705,6.731506849,1,-0.096763855,4
309,20/02/2009,617,1.311376074,12/02/2009,1,05/11/2015,01/01/2017,2457,80.55737705,6.731506849,1,0.169460891,0
309,16/03/2010,104,1.016333826,12/02/2009,2,05/11/2015,01/01/2017,2457,80.55737705,6.731506849,1,-0.049180734,1
309,15/05/2014,1151,1.085107834,12/02/2009,6,05/11/2015,01/01/2017,2457,80.55737705,6.731506849,1,-0.004191971,5
124,16/03/2010,1186,1.161531675,16/02/2009,2,17/07/2014,01/01/2017,1977,64.81967213,5.416438356,1,-0.120716686,1
124,20/02/2012,1308,1.421473972,16/02/2009,4,17/07/2014,01/01/2017,1977,64.81967213,5.416438356,1,0.109991415,3
124,20/02/2012,1308,1.421473972,16/02/2009,4,17/07/2014,01/01/2017,1977,64.81967213,5.416438356,1,0.109991415,4
124,05/07/2011,926,1.056163937,16/02/2009,3,17/07/2014,01/01/2017,1977,64.81967213,5.416438356,1,0.030340518,2
124,20/02/2009,982,1.171616704,16/02/2009,1,17/07/2014,01/01/2017,1977,64.81967213,5.416438356,1,0.10417656,0
3007,16/03/2010,1225,1.17994623,21/03/2009,2,23/02/2012,01/01/2017,1069,35.04918033,2.928767123,1,0.087343939,1
3007,20/02/2012,488,0.8157655,21/03/2009,4,23/02/2012,01/01/2017,1069,35.04918033,2.928767123,1,-0.271379691,3
3007,20/02/2012,488,0.8157655,21/03/2009,4,23/02/2012,01/01/2017,1069,35.04918033,2.928767123,1,-0.271379691,4
3007,25/03/2011,336,1.303694052,21/03/2009,3,23/02/2012,01/01/2017,1069,35.04918033,2.928767123,1,0.234563681,2
3007,02/04/2009,1395,0.990482222,21/03/2009,1,23/02/2012,01/01/2017,1069,35.04918033,2.928767123,1,-0.014037763,0
6431,16/03/2010,446,1.174238461,27/05/2009,2,16/01/2015,01/01/2017,2060,67.54098361,5.643835616,1,0.045406245,1
6431,28/03/2011,333,0.949652666,27/05/2009,3,16/01/2015,01/01/2017,2060,67.54098361,5.643835616,1,-0.109738789,2
6431,06/06/2014,660,1.373285147,27/05/2009,6,16/01/2015,01/01/2017,2060,67.54098361,5.643835616,1,0.200977145,5
6431,01/06/2009,144,1.134757836,27/05/2009,1,16/01/2015,01/01/2017,2060,67.54098361,5.643835616,1,0.056551357,0
